Anaesthetics,53,22800,75
Analgesics,42,12600,50
Anti-allergics,123,25350,150
Anti-infective medicines,210,54000,8750
Anticonvulsants/antiepileptics,307,49125,1240
Antidotes,17,25500,20
Cardiovascular medicines,100,75000,2020
Dermatological medicines,24,12000,30
Disinfectants and antiseptics,312,312,12000
Diuretics,155,45375,220
Gastrointestinal medicines,178,48000,550
Guidelines for IHEK 2011 users,3,750,6
"Medical devices, equipment",120,695250,134
"Medical devices, renewable",340,513500,11533
Medicines,947,538716,12484
Stationary,911,102300,3024
