Anaesthetics,8,4200,3000
Analgesics,1,300,2000
Anti-allergics,7,1800,3000
Anti-infective medicines,42,2136,300
Anticonvulsants/antiepileptics,11,2025,1000
Antidotes,7,10500,3000
Cardiovascular medicines,15,4635,200
Dermatological medicines,2,1000,200
Disinfectants and antiseptics,0,0,500
Diuretics,12,2250,100
Gastrointestinal medicines,4,930,300
Guidelines for IHEK 2011 users,1,250,2
"Medical devices, equipment",13,27900,15
"Medical devices, renewable",641,189410,1000
Medicines,537,50905,2000
Stationary,35,2660,100
