"albendazole, chewable tablets 400 mg",tablet,Medicines,75,100,200
"aluminium hydroxide + magnesium hydroxide,",tablet,Medicines,15,300,1000
"amoxicillin, tablets 250 mg",tablet,Medicines,5,110,3000
"benzyl benzoate, lotion 25%","Bottle, 1 litre",Medicines,15000,1,1
"chlorhexidine gluconate, solution 5%","Bottle, 1 litre",Medicines,15000,1,1
"ferrous sulfate + folic acid, tablets 200 mg + 0.4 mg",tablet,Medicines,8,1,2000
"ibuprofen, scored tablets 400 mg",tablet,Medicines,8,2,2000
"miconazole, cream 2%",30 g,Medicines,750,3,20
ORS (oral rehydration salts),sachet for 1 litre,Medicines,75,5,200
"paracetamol, tablets 100 mg",tablet,Medicines,15,1,1000
"paracetamol, tablets 500 mg",tablet,Medicines,8,2,2000
"polyvidone iodine, solution 10% (equivalent to 1% available iodine)","bottle, 200ml",Medicines,1250,4,12
"tetracycline, eye ointment 1% tube","Tube, 5 g",Medicines,300,2,50
"zinc sulfate, dispersible tablets 20 mg",tablet,Medicines,15,5,1000
"ketamine, injection 50 mg/ml",10 ml/vial 25,Anaesthetics,600,6,25
"lidocaine, injection 1%",20 ml/vial 50,Anaesthetics,300,2,50
"morphine, injection 10 mg/ml3",1 ml/ampoule,Analgesics,300,1,50
"hydrocortisone, powder for injection 100 mg",vial,Anti-allergics,300,5,50
"prednisolone, tablets 5 mg",tablet,Anti-allergics,150,2,100
"diazepam, injection 5 mg/ml",2 ml/ampoule,Anticonvulsants/antiepileptics,75,1,200
"magnesium sulfate, injection 500 mg/ml",10 ml/ampoule,Anticonvulsants/antiepileptics,375,5,40
"phenobarbital, tablets 50 mg",tablet,Anticonvulsants/antiepileptics,15,5,1000
"calcium gluconate, injection 100 mg/ml6",10 ml/ampoule,Antidotes,1500,6,10
"naloxone, injection 0.4 mg/ml",1 ml/ampoule,Antidotes,1500,1,10
"benzathine benzylpenicillin, injection 2.4 million IU/vial (long-acting penicillin)",vial,Anti-infective medicines,300,2,50
"benzylpenicillin, injection 5 million IU/vial",vial,Anti-infective medicines,60,4,250
"ceftriaxone, injection 1 g",vial,Anti-infective medicines,19,6,800
"clotrimazole, pessary 500 mg",pessary,Anti-infective medicines,150,2,100
"cloxacillin, capsules 250 mg",capsule,Anti-infective medicines,8,6,2000
"doxycycline, tablets 100 mg",tablet,Anti-infective medicines,5,7,3000
"metronidazole, tablets 500 mg",tablet,Anti-infective medicines,8,2,2000
"miconazole, muco-adhesive tablets 10 mg",tablet,Anti-infective medicines,43,6,350
"procaine benzylpenicillin, injection 3 - 4 million IU/vial",vial,Anti-infective medicines,75,7,200
"atenolol, tablets 50 mg",tablet,Cardiovascular medicines,15,2,1000
"hydralazine, powder for injection 20 mg",ampoule,Cardiovascular medicines,750,6,20
"methyldopa, tablets 250 mg",tablet,Cardiovascular medicines,15,7,1000
"silver sulfadiazine, cream 1%","tube, 50 g",Dermatological medicines,500,2,30
"sodium dichloroisocyanurate (NaDCC), tablets 1.67 g",tablet,Disinfectants and antiseptics,1,1000,12000
